match_id,half,team_slot,eID,gameclock,timestamp,at_x,at_y,passer_slot,recipient_slot,pID,recipient,event_id,orientation,ev_x,ev_y,ball_to_passer,sync_frame,naive_frame,dist_before,dist_after
J03WMX,firstHalf,Home,Play_Pass,1575.283,2023-05-27 15:56:27.513000+02:00,28.05,17.45,0,9,DFL-OBJ-0027AX,DFL-OBJ-0028BD,,shift only,-24.45,-16.55,0.45177427992306196,39381,39382,4.750010526304126,5.592584375760459
J03WMX,firstHalf,Home,Play_Pass,1580.496,2023-05-27 15:56:32.726000+02:00,19.74,11.43,9,2,DFL-OBJ-0028BD,DFL-OBJ-00012X,,shift only,-32.760000000000005,-22.57,0.3101612483854155,39511,39512,1.918019812202153,2.0437710243566896
J03WMX,firstHalf,Home,Play_Pass,1584.136,2023-05-27 15:56:36.366000+02:00,28.75,12.04,2,3,DFL-OBJ-00012X,DFL-OBJ-000270,,shift only,-23.75,-21.96,0.9234717104492172,39570,39603,29.501555891172924,3.248661262735778
J03WMX,firstHalf,Home,Play_Pass,1585.708,2023-05-27 15:56:37.938000+02:00,11.22,40.42,3,18,DFL-OBJ-000270,DFL-OBJ-002GKO,,shift only,-41.28,6.420000000000002,1.5707959765672936,39609,39642,11.461138686884476,4.81025986823997
J03WMX,firstHalf,Home,Play_Pass,1599.879,2023-05-27 15:56:52.109000+02:00,30.96,52.15,7,9,DFL-OBJ-0027B6,DFL-OBJ-0028BD,,shift only,-21.54,18.15,0.8720665112249193,40010,39996,2.999816661064472,1.533786165017796
J03WMX,firstHalf,Home,Play_Pass,1678.024,2023-05-27 15:58:10.254000+02:00,72.74,22.77,12,16,DFL-OBJ-002G4A,DFL-OBJ-J01D1W,,shift only,20.239999999999995,-11.23,0.2842534080710396,41873,41950,20.454759837260376,5.157130985344468
J03WMX,firstHalf,Home,Play_Pass,1680.9,2023-05-27 15:58:13.130000+02:00,72.54,3.21,16,3,DFL-OBJ-J01D1W,DFL-OBJ-000270,,shift only,20.040000000000006,-30.79,0.8160882305241249,42018,42022,1.9802272596851176,2.4147256572952505
J03WMX,firstHalf,Home,Play_Pass,1747.981,2023-05-27 15:59:20.211000+02:00,97.79,31.79,4,16,DFL-OBJ-0002HE,DFL-OBJ-J01D1W,,shift only,45.290000000000006,-2.210000000000001,0.582494635168427,43694,43699,3.093024409861657,3.242252303569238
J03WMX,firstHalf,Home,Play_Pass,1792.66,2023-05-27 16:00:04.890000+02:00,68.83,12.44,12,2,DFL-OBJ-002G4A,DFL-OBJ-00012X,,shift only,16.33,-21.560000000000002,18.40057879524446,44742,44816,3.0131047110912,28.881906100532905
J03WMX,firstHalf,Home,Play_Pass,1798.528,2023-05-27 16:00:10.758000+02:00,63.82,2.21,2,16,DFL-OBJ-00012X,DFL-OBJ-J01D1W,,shift only,11.32,-31.79,1.1950732195141864,44911,44963,17.45526854562828,0.8052949770115314
