match_id,half,team_slot,eID,gameclock,timestamp,at_x,at_y,passer_slot,recipient_slot,pID,recipient,event_id
J03WMX,firstHalf,Home,Play_Pass,1531.311,2023-05-27 15:55:43.541000+02:00,54.0,1.6,2,16,DFL-OBJ-00012X,DFL-OBJ-J01D1W,
J03WMX,firstHalf,Home,Play_Pass,1553.676,2023-05-27 15:56:05.906000+02:00,60.01,33.5,12,2,DFL-OBJ-002G4A,DFL-OBJ-00012X,
J03WMX,firstHalf,Home,Play_Pass,1558.311,2023-05-27 15:56:10.541000+02:00,55.61,18.45,2,3,DFL-OBJ-00012X,DFL-OBJ-000270,
J03WMX,firstHalf,Home,Play_Pass,1572.548,2023-05-27 15:56:24.778000+02:00,49.79,47.54,7,0,DFL-OBJ-0027B6,DFL-OBJ-0027AX,
J03WMX,firstHalf,Home,Play_Pass,1575.283,2023-05-27 15:56:27.513000+02:00,28.05,17.45,0,9,DFL-OBJ-0027AX,DFL-OBJ-0028BD,
J03WMX,firstHalf,Home,Play_Pass,1580.496,2023-05-27 15:56:32.726000+02:00,19.74,11.43,9,2,DFL-OBJ-0028BD,DFL-OBJ-00012X,
J03WMX,firstHalf,Home,Play_Pass,1584.136,2023-05-27 15:56:36.366000+02:00,28.75,12.04,2,3,DFL-OBJ-00012X,DFL-OBJ-000270,
J03WMX,firstHalf,Home,Play_Pass,1585.708,2023-05-27 15:56:37.938000+02:00,11.22,40.42,3,18,DFL-OBJ-000270,DFL-OBJ-002GKO,
J03WMX,firstHalf,Home,Play_Pass,1599.879,2023-05-27 15:56:52.109000+02:00,30.96,52.15,7,9,DFL-OBJ-0027B6,DFL-OBJ-0028BD,
J03WMX,firstHalf,Home,Play_Pass,1678.024,2023-05-27 15:58:10.254000+02:00,72.74,22.77,12,16,DFL-OBJ-002G4A,DFL-OBJ-J01D1W,
J03WMX,firstHalf,Home,Play_Pass,1680.9,2023-05-27 15:58:13.130000+02:00,72.54,3.21,16,3,DFL-OBJ-J01D1W,DFL-OBJ-000270,
J03WMX,firstHalf,Home,Play_Pass,1747.981,2023-05-27 15:59:20.211000+02:00,97.79,31.79,4,16,DFL-OBJ-0002HE,DFL-OBJ-J01D1W,
J03WMX,firstHalf,Home,Play_Pass,1792.66,2023-05-27 16:00:04.890000+02:00,68.83,12.44,12,2,DFL-OBJ-002G4A,DFL-OBJ-00012X,
J03WMX,firstHalf,Home,Play_Pass,1798.528,2023-05-27 16:00:10.758000+02:00,63.82,2.21,2,16,DFL-OBJ-00012X,DFL-OBJ-J01D1W,
J03WMX,firstHalf,Home,Play_Pass,1801.318,2023-05-27 16:00:13.548000+02:00,85.36,5.92,16,4,DFL-OBJ-J01D1W,DFL-OBJ-0002HE,
J03WMX,firstHalf,Home,Play_Pass,1803.961,2023-05-27 16:00:16.191000+02:00,98.59,30.59,4,7,DFL-OBJ-0002HE,DFL-OBJ-0027B6,
J03WMX,firstHalf,Home,Play_Pass,1808.603,2023-05-27 16:00:20.833000+02:00,95.98,49.85,7,5,DFL-OBJ-0027B6,DFL-OBJ-0002BO,
J03WMX,firstHalf,Home,Play_Pass,1810.878,2023-05-27 16:00:23.108000+02:00,84.26,65.99,5,3,DFL-OBJ-0002BO,DFL-OBJ-000270,
J03WMX,firstHalf,Home,Play_Pass,1811.889,2023-05-27 16:00:24.119000+02:00,52.6,42.73,3,0,DFL-OBJ-000270,DFL-OBJ-0027AX,
J03WMX,firstHalf,Home,Play_Pass,1815.068,2023-05-27 16:00:27.298000+02:00,62.32,43.93,0,14,DFL-OBJ-0027AX,DFL-OBJ-J01BGM,
J03WMX,firstHalf,Home,Play_Cross,1820.386,2023-05-27 16:00:32.616000+02:00,44.48,66.7,14,3,DFL-OBJ-J01BGM,DFL-OBJ-000270,
J03WMX,firstHalf,Home,Play_Pass,1857.298,2023-05-27 16:01:09.528000+02:00,50.6,4.01,2,16,DFL-OBJ-00012X,DFL-OBJ-J01D1W,
J03WMX,firstHalf,Home,Play_Pass,1859.053,2023-05-27 16:01:11.283000+02:00,78.85,8.22,16,4,DFL-OBJ-J01D1W,DFL-OBJ-0002HE,
J03WMX,firstHalf,Home,Play_Pass,1862.316,2023-05-27 16:01:14.546000+02:00,92.58,30.79,4,12,DFL-OBJ-0002HE,DFL-OBJ-002G4A,
J03WMX,firstHalf,Home,Play_Pass,1863.826,2023-05-27 16:01:16.056000+02:00,79.05,33.3,12,4,DFL-OBJ-002G4A,DFL-OBJ-0002HE,
J03WMX,firstHalf,Home,Play_Pass,1880.726,2023-05-27 16:01:32.956000+02:00,86.77,9.43,18,2,DFL-OBJ-002GKO,DFL-OBJ-00012X,
J03WMX,firstHalf,Home,Play_Pass,1892.29,2023-05-27 16:01:44.520000+02:00,80.15,12.44,2,16,DFL-OBJ-00012X,DFL-OBJ-J01D1W,
J03WMX,firstHalf,Home,Play_Pass,1996.219,2023-05-27 16:03:28.449000+02:00,90.17,65.69,7,4,DFL-OBJ-0027B6,DFL-OBJ-0002HE,
J03WMX,firstHalf,Home,Play_Pass,1998.13,2023-05-27 16:03:30.360000+02:00,101.19,52.86,4,3,DFL-OBJ-0002HE,DFL-OBJ-000270,
J03WMX,firstHalf,Home,Play_Pass,2002.308,2023-05-27 16:03:34.538000+02:00,53.1,45.03,3,9,DFL-OBJ-000270,DFL-OBJ-0028BD,
J03WMX,firstHalf,Home,Play_Pass,2004.236,2023-05-27 16:03:36.466000+02:00,55.41,32.7,9,18,DFL-OBJ-0028BD,DFL-OBJ-002GKO,
J03WMX,firstHalf,Home,Play_Pass,2005.745,2023-05-27 16:03:37.975000+02:00,55.31,48.04,18,12,DFL-OBJ-002GKO,DFL-OBJ-002G4A,
J03WMX,firstHalf,Home,Play_Pass,2008.759,2023-05-27 16:03:40.989000+02:00,61.12,41.32,12,2,DFL-OBJ-002G4A,DFL-OBJ-00012X,
J03WMX,firstHalf,Home,Play_Pass,2014.526,2023-05-27 16:03:46.756000+02:00,68.03,27.68,2,12,DFL-OBJ-00012X,DFL-OBJ-002G4A,
J03WMX,firstHalf,Home,Play_Pass,2016.575,2023-05-27 16:03:48.805000+02:00,68.33,38.01,12,18,DFL-OBJ-002G4A,DFL-OBJ-002GKO,
J03WMX,firstHalf,Home,Play_Pass,2020.86,2023-05-27 16:03:53.090000+02:00,60.42,64.79,18,4,DFL-OBJ-002GKO,DFL-OBJ-0002HE,
J03WMX,firstHalf,Home,Play_Pass,2022.824,2023-05-27 16:03:55.054000+02:00,97.69,39.92,4,16,DFL-OBJ-0002HE,DFL-OBJ-J01D1W,
J03WMX,firstHalf,Home,Play_Pass,2025.406,2023-05-27 16:03:57.636000+02:00,86.46,20.06,16,2,DFL-OBJ-J01D1W,DFL-OBJ-00012X,
J03WMX,firstHalf,Home,Play_Pass,2029.489,2023-05-27 16:04:01.719000+02:00,72.84,2.41,2,0,DFL-OBJ-00012X,DFL-OBJ-0027AX,
J03WMX,firstHalf,Home,Play_Pass,2088.498,2023-05-27 16:05:00.728000+02:00,56.31,21.86,9,2,DFL-OBJ-0028BD,DFL-OBJ-00012X,
